Moody 穆迪 | w_freq: 54 - 38 | wiki_freq: 13986 - 245 | sentence_idx: 394 | align_1: 17-14 | align_2: 18-18 | entity: Moody - 穆迪 |    Vance said he had to make peace with his father 's death , but has no doubt Moody is guilty . ||| 万斯 说 , 他 与 他 父亲 的 死使 和平 , 但 毫无疑问 , 穆迪 说 , 他 是 有罪 的 。 
Hyperion Hyperion | w_freq: 3 - 4 | wiki_freq: 3100 - 46 | sentence_idx: 873925 | align_1: 16-26 | align_2: 17-33 | entity: Hyperion Entertainment - Hyperion 娱乐 |    Later versions were developed by Haage & Partner ( AmigaOS 3.5 and 3.9 ) and then Hyperion Entertainment ( AmigaOS 4.0 - 4.1 ) . ||| 后来 的 版本 则 由 Haage & Partner （ 英语 ： Haage _&_Partner ） （ AmigaOS 3.5 和 3.9 ） 开发 ， 这 之后 则 由 Hyperion 娱乐 （ 英语 ： Hyperion _ Entertainment ） （ AmigaOS 4.0-4.1 ） 开发 。 

FinTech FinTech | w_freq: 17 - 10 | wiki_freq: 367 - 29 | sentence_idx: 874538 | align_1: 15-7 | align_2: 16-12 | entity: FinTech - none |    The two regions in the Baltic have recently spurred quite a bit of interest in FinTech and this new digital architecture . ||| 波罗的海 的 两 个 地区 最近 在 FinTech （ 金融 科技 ） 和 这种 新 的 数字 架构 上 显示 出 相当 多 的 兴趣 。 

StackOverflow StackOverflow | w_freq: 3 - 2 | wiki_freq: 12 - 1 | sentence_idx: 876366 | align_1: 11-9 | align_2: 12-15 | entity: StackOverflow - none |    Most of us spend a lot of time on pages like StackOverflow or researching google because there are so many resources out there . ||| 我们 大多数 人 花 了 很多 时间 在 像 StackOverflow 这样 的 页面 上 ， 或者 搜索 谷歌 ， 因为 那里 有 太 多 的 资源 。 

JCPOA JCPOA | w_freq: 28 - 18 | wiki_freq: 337 - 0 | sentence_idx: 877047 | align_1: 3-3 | align_2: 4-9 | entity: JCPOA - none |    " I believe JCPOA was an important diplomatic victory and I think it will be important to preserve it , but I also believe there are areas in which it will be very important to have a meaningful dialogue because I see the region in a very dangerous position , " he said . ||| “ 我 认为 JCPOA （ 伊朗 核 协议 ） 是 一 次 重要 的 外交 胜利 ， 我 认为 保留 它 是 很 重要 的 ， 但 我 也 相信 ， 有些 领域 对于 进行 有 意义 的 对话 非常 重要 ， 因为 我 看到 了 该 地区 在 一个 非常 危险 的 位置 ， “ 他 说 。 

Crap crap | w_freq: 3 - 1 | wiki_freq: 434 - 5 | sentence_idx: 878320 | align_1: 3-2 | align_2: 4-7 | entity: Crap - none |    “ Total Political Crap ” ||| Total political crap （ 政治 狗屁 ） ” 。 

Troggs Troggs | w_freq: 1 - 2 | wiki_freq: 302 - 0 | sentence_idx: 879945 | align_1: 6-6 | align_2: 7-13 | entity: The Troggs - none |    I ca n't control myself The Troggs 3:04 ||| 7. I Can't Control Myself The Troggs （ 英语 ： The Troggs ） 3:02 

Regression Regression | w_freq: 15 - 2 | wiki_freq: 565 - 18 | sentence_idx: 884028 | align_1: 7-9 | align_2: 8-16 | entity: Least Angle Regression - none |    LassoLarsCV is based on the Least Angle Regression algorithm explained below . ||| LassoLars CV 是 基于 下面 解释 的 Least Angle Regression ( 最 小 角度 回归 ) 算法 。 

Everyone Everyone | w_freq: 838 - 25 | wiki_freq: 10816 - 57 | sentence_idx: 886623 | align_1: 2-3 | align_2: 3-12 | entity: Everyone - none |    Elvis for Everyone ( August 10 , 1965 ) ||| 《 Elvis for Everyone （ 英语 ： Elvis for Everyone ） 》 （ 1965年 8月 10日 ） 

Moir Moir | w_freq: 2 - 2 | wiki_freq: 1840 - 6 | sentence_idx: 887155 | align_1: 2-3 | align_2: 3-15 | entity: Moir - Moir |    According to Moir , 2021 will be a stronger year for David Jones . ||| 根据 摩尔 ( Moir ) 的 说法 ， 对于 大卫·琼斯 ( David Jones ) 而言 ， 2021年 将 是 更加 强劲 的 一 年 。 

Therapeutics Therapeutics | w_freq: 20 - 19 | wiki_freq: 2657 - 36 | sentence_idx: 887636 | align_1: 22-33 | align_2: 23-40 | entity: Juno Therapeutics - none |    But others were on the same trail , and most of them pooled their efforts into a bio-tech : Seattle ’s Juno Therapeutics . ||| 其他人 也 走 在 同样 的 道路 上    , 其中 大多数 人 将 他们 的 努力 集中 到 一家 生物 科技 公司 ： 西雅图 的 朱诺 治疗 公司 （ Juno Therapeutics ）      。 

OIE OIE | w_freq: 9 - 5 | wiki_freq: 151 - 42 | sentence_idx: 889913 | align_1: 8-12 | align_2: 9-17 | entity: OIE - OIE |    Specifically , China has been unwilling to follow OIE guidelines and accept poultry from regions in the United States unaffected by this disease . ||| 特别是 ， 中国 一直 不 愿意 承认 世界 动物 卫生 组织 ( OIE ) 有关 区域化 的 指引 ， 不 接受 来自 美国 未 受 这种 疾病 影响 的 地区 的 禽肉 。 

EB-1 EB-1 | w_freq: 6 - 8 | wiki_freq: 79 - 3 | sentence_idx: 891284 | align_1: 20-22 | align_2: 21-26 | entity: EB-1 - none |    A : If you decide to retain us to do your EB-1(a ) , please read a copy of our EB-1 agreement , sign it , and mail it to us , along a check for $ 2,500 as the initial attorney 's fee . ||| A ： 如果 您 决定 委托 我们 公司 为 您 进行 EB-1 （ a ） 申请 ， 请 先 阅读 我们 的 EB-1 （ a ） 合同 ， 签字 后 寄 给 我们 ， 并 附上 2500 美元 的 支票 ， 这笔 费用 包括 最初 的 费用 。 

Tonopah 托诺帕 | w_freq: 1 - 1 | wiki_freq: 1179 - 14 | sentence_idx: 891712 | align_1: 8-5 | align_2: 9-10 | entity: Tonopah - 托诺帕 测试 靶场 |    This plane would n’t fit in storage at Tonopah and the Air Force deemed it to have no “ historical significance . ” ||| 这种 飞机 不 适合 在 托诺帕 测试 靶场 存放 ， 而且 空军 认为 其 不 具有 任何 “ 历史 意义 ” 。 

Networking Net | w_freq: 50 - 258 | wiki_freq: 2105 - 2385 | sentence_idx: 900393 | align_1: 23-20 | align_2: 24-25 | entity: Networking - none |    This technology , which they call “ WiSee , ” is to appear at The 19th Annual International Conference on Mobile Computing and Networking . ||| 这项 技术 ， 他们 称之为 「 WiSee 」 ， 已 投稿 到 第十九 届 International Conference on Mobile Computing and Net working （ MobiCom ） 。 

Thaddeus Thaddeus | w_freq: 3 - 1 | wiki_freq: 2804 - 0 | sentence_idx: 901855 | align_1: 6-5 | align_2: 7-9 | entity: Thaddeus - none |    He has arrested not only friend Thaddeus but the gatekeeper , the housekeeper , and the Indian servant . ||| 他 不仅 逮捕 了 朋友 Thaddeus   ， 但是 守门人  ， 管家  ， 还有 印度 佣人  。 

2D 2D | w_freq: 122 - 121 | wiki_freq: 10046 - 1366 | sentence_idx: 902370 | align_1: 6-9 | align_2: 7-14 | entity: 2D - none |    " Normally laboratory-grown cells grow in 2D but some cell types have been printed in 3D. ||| 通常   ， 实验室 培养 的 细胞 在 2D 中 生长  ， 但是 一些 细胞 类型 已经 以 3D 形式 印刷   。 

Hen Hen | w_freq: 4 - 4 | wiki_freq: 3417 - 23 | sentence_idx: 904594 | align_1: 6-3 | align_2: 7-12 | entity: The Wise Little Hen - The Wise Little Hen |    First appearance : The Wise Little Hen ( 1934 ) ||| The Wise Little Hen （ 英语 ： The Wise Little Hen ） ( 1934 ) 

Samasource Samasource | w_freq: 7 - 10 | wiki_freq: 13 - 0 | sentence_idx: 904836 | align_1: 15-15 | align_2: 16-21 | entity: Samasource - none |    Other companies , such as Crowdflower ( now Figure Eight ) , Mighty AI and Samasource label data and clean it up for algorithmic use . ||| 其他 公司 ， 如 Crowdflower ( 如今 的 Figure Eight ) 、 Mighty AI 和 Samasource ， 会 对 数据 进行 标签化 ， 并 对 其 进行 清理 以 供 算法 使用 。 

Juncker 容克 | w_freq: 34 - 29 | wiki_freq: 807 - 224 | sentence_idx: 905671 | align_1: 1-1 | align_2: 2-7 | entity: Juncker - 容克 |    Mr Juncker added that " I have the impression sometimes that our British friends … underestimate the technical difficulties we have to face . ||| ” 容克 说 道 ， 他 还 补充 称    ， “ 我 有时 觉得 我们 的 英国 朋友 低估 了 我们 所 面临 的 技术 困难  。 

Juncker 容克 | w_freq: 34 - 29 | wiki_freq: 807 - 224 | sentence_idx: 905672 | align_1: 1-1 | align_2: 2-6 | entity: Juncker - 容克 |    Mr Juncker added that " I have the impression sometimes that our British friends … underestimate the technical difficulties we have to face . ||| ” 容克 说道 ， 他 还 补充 称 ， “ 我 有时 觉得 我们 的 英国 朋友 低估 了 我们 所 面临 的 技术 困难 。 

HPV HPV | w_freq: 136 - 138 | wiki_freq: 1875 - 126 | sentence_idx: 905910 | align_1: 10-11 | align_2: 11-15 | entity: HPV - none |    Consequently , researchers turned to creating something that looked like HPV but did not include the potentially dangerous genes contained within HPV . ||| 因此 ， 研究 人员 转而 创造 出 一 种 看起来 像 HPV 的 东西 ， 但 并 不 包括 HPV 中 潜在 的 危险 基因 。 

Lilly Lilly | w_freq: 15 - 7 | wiki_freq: 8669 - 56 | sentence_idx: 917643 | align_1: 5-2 | align_2: 6-9 | entity: Lilly - none |    [ October ] You Kissed Lilly [ February 8 ] ||| You Kissed Lilly （ 你 亲 过 莉莉 ） [ 2月 8日 ] 

Analytics Analytics | w_freq: 189 - 104 | wiki_freq: 3180 - 60 | sentence_idx: 921116 | align_1: 10-12 | align_2: 11-16 | entity: Google Analytics 360 - none |    Last year , we shared our plan to make Google Analytics 360 audiences available for activation in Salesforce Marketing Cloud , so that marketers can deliver more timely and relevant messages via additional marketing channels like email and SMS . ||| 去年 ， 我们 分享 了 我们 的 计划 ， 以 使 Google Analytics （ 分析 ） 360 的 受众 群体 可以 在 Salesforce Marketing Cloud 中 激活 ， 以便 营销 人员 可以 通过 电子 邮件 和 SMS 等 其他 营销 渠道 传递 更 及时 和 相关 的 消息 。 

Gtel Gtel | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 924970 | align_1: 7-4 | align_2: 8-11 | entity: Gtel - none |    Up to now , all except for Gtel have officially offered 4 G services to users . ||| 截至 目前 ， 除 Gtel 外 ， 四 家 电信 集团 已 正式 向 用户 提供 了 4G 网络 服务 。 

Philippians 腓立 | w_freq: 22 - 23 | wiki_freq: 402 - 136 | sentence_idx: 925520 | align_1: 1-1 | align_2: 2-6 | entity: Philippians - 腓立 比 |    In Philippians we can tell right away that this letter is going to be full of love and warmth . ||| 在 腓立 比 书信 中 ， 我们 一下子 就 能 看出 ， 这是 一 封 充满 爱 和 温暖 的 信 。 

Cibulkova Cibulkova | w_freq: 1 - 1 | wiki_freq: 21 - 3 | sentence_idx: 926897 | align_1: 13-12 | align_2: 14-18 | entity: Cibulkova - none |    “ We planned this [ the wedding ] nine months ago , ” Cibulkova said to the Daily Mail . ||| “ 咱们 谋划 正在 九 个 月 前 举办 婚礼 ， ” Cibulkova 对 “ 逐日 信息 ” 说 邮件 。 

Yubitsume Yubitsume | w_freq: 1 - 1 | wiki_freq: 5 - 0 | sentence_idx: 928280 | align_1: 6-5 | align_2: 7-10 | entity: Yubitsume - none |    The Yakuza had a ritual called Yubitsume where they would chop off part of one ’s pinky finger as punishment . ||| The Yakuza 有 一个 叫做 Yubitsume 的 仪式 ， 在 那里 他们 会 砍掉 一个 小 指 的 一部分 作为 惩罚 。 

Atatürkism Ataturkism | w_freq: 1 - 1 | wiki_freq: 7 - 0 | sentence_idx: 932631 | align_1: 18-22 | align_2: 19-26 | entity: Atatürkism - none |    The New Turkey 's ideology was , and remains , " Kemalism " , later known as " Atatürkism " . ||| 土耳其 共和国 的 意识 形态 过去 是 并且 将 永远 是 “ Kemalism （ Kemal主义 ） ” ， 后来 也 称为 “ Ataturkism （ Ataturk主义 ） ” 。 

YORK YORK | w_freq: 64 - 8 | wiki_freq: 199 - 16 | sentence_idx: 939568 | align_1: 1-2 | align_2: 2-6 | entity: NEW YORK - none |    NEW YORK -- New York 's storied Four Seasons restaurant has for decades harbored one of the city 's more unusual artworks : the largest Pablo Picasso painting in the United States . ||| N EW YORK （ 美联社 ） - 纽约 传奇 的 四季 餐厅 几十 年 来 一直 庇护 着 这 座 城市 最 不 寻常 的 艺术品 之一 ： 美国 最 大 的 Pablo Picasso 画作 。 

Kartavtsev Kartavtsev | w_freq: 1 - 2 | wiki_freq: 4 - 0 | sentence_idx: 940288 | align_1: 10-8 | align_2: 11-15 | entity: Valeriy Kartavtsev - none |    December 1 , 1993 - August 5 , 1994 Valeriy Kartavtsev ( Secretary of National Security Council ) ||| 1993年 12月 1日 - 1994年 8月 5日 Valeriy Kartavtsev （ 英语 ： Valeriy Kartavtsev ） （ 国家 安全 委员会 秘书 ） 

Duffer 罗斯·达弗 | w_freq: 2 - 1 | wiki_freq: 187 - 0 | sentence_idx: 940872 | align_1: 4-3 | align_2: 5-9 | entity: Ross Duffer - 罗斯·达弗 |    Or , as Ross Duffer told Rolling Stone : “ We were the last generation to have the experience of going out with our friends to the woods or the train tracks and the only way our parents could connect with us was to say , ‘ It ’s time for dinner . ’ ” ||| 或者 ， 正如 罗斯·达弗 对 《 滚石 》 所 说 ： “ 我们 是 最后 一代 有 过 和 朋友 一起 去 森林 或 火车 轨道 的 经历 的 人 ， 我们 父母 唯一 能 与 我们 联系 的 方式 就是说 ， “ 是 吃 晚饭 的 时候 了 。 

Amazon.com Amazon.com | w_freq: 20 - 13 | wiki_freq: 3587 - 106 | sentence_idx: 940959 | align_1: 18-18 | align_2: 19-24 | entity: Amazon.com Inc. - none |    GoPro said it was now at full production and ramping up distribution of Hero 5 , including on Amazon.com Inc. ||| GoPro 表示 现在 已经 全面 投入 生产 ， 并且 正在 增加 Hero 5 的 发行量 ， 包括 在 Amazon.com Inc （ AMZN.O ） 上 。 

Neu 亚历山大·诺亚 | w_freq: 2 - 1 | wiki_freq: 1603 - 0 | sentence_idx: 941910 | align_1: 5-4 | align_2: 6-9 | entity: Alexander Neu - 亚历山大·诺亚 |    Thus , German MP Alexander Neu said that he hears only " rhetorical exercise " from Brussels regarding a unified system of security in Europe , NATO provides . ||| 因此 ， 德国 议员 亚历山大·诺亚 （ Alexander Noah ） 指出 ， 他 只 听取 布鲁塞尔 关于 北约 在 欧洲 提供 的 统一 安全 系统 的 “ 修辞 演习 ” 。 

Promise Promise | w_freq: 74 - 34 | wiki_freq: 6526 - 140 | sentence_idx: 944741 | align_1: 18-17 | align_2: 19-25 | entity: Millennium Promise - none |    In 2008 , former Tyson team member Jenise Huffman began working on a corporate service fellowship with Millennium Promise , a non-profit organization aimed at ending extreme global poverty . ||| 2008年 ， 前 泰森 团队 成员 Jenise Huffman 开始 启动 一 项 与 非盈利 组织 “ Millennium Promise ” 合作 开展 的 公司 服务 项目 ， 旨在 消除 全球 极度 贫困 。 

Doubt 美谈者 | w_freq: 22 - 1 | wiki_freq: 3250 - 0 | sentence_idx: 944766 | align_1: 12-9 | align_2: 13-13 | entity: Merchants of Doubt - none |    So can you make a comment about the book , Merchants of Doubt ? ||| 而 《 书 》 之 所述 ， 用 为 美谈者 ， 何 哉 ？ 其疑 

Genf 日内瓦 | w_freq: 1 - 311 | wiki_freq: 55 - 3823 | sentence_idx: 950360 | align_1: 19-16 | align_2: 20-25 | entity: Genf - 日内瓦 |    I was open about having received this gift – I showed my colleagues who had travelled with me to Genf and mentioned it to the staff in Frankfurt as well . ||| 我 对 收到 这 份 礼物 持 开放 态度 - 我 向 同 我 一起 前往 日内瓦 的 同事 们 展示 了 这 一点 ， 并 向 法兰克福 的 工作 人员 提到 了 这 一点 。 

CITY 大西洋城 | w_freq: 10 - 20 | wiki_freq: 471 - 367 | sentence_idx: 951534 | align_1: 1-1 | align_2: 2-5 | entity: CITY - 大西洋城 |    ATLANTIC CITY — Three Atlantic City casinos announced layoffs Thursday totaling 315 employees , although some were seasonal help who normally only work during the summer . ||| 新泽西州 大西洋城 （ 美联社 ） - 三 个 大西洋城 赌场 周四 宣布 裁员 共计 315 名 员工 ， 虽然 有些 是 季节性 帮助 ， 通常 只 在 夏季 工作 。 

Beej Beej | w_freq: 1 - 2 | wiki_freq: 59 - 0 | sentence_idx: 952334 | align_1: 0-1 | align_2: 1-8 | entity: Beej - none |    Beej 's Guide to C Programming ||| 《 Beej 的 C 语言 教程 Beej ’ s Guide to C Programming 》 

Refuge 保护区 | w_freq: 10 - 173 | wiki_freq: 10150 - 7908 | sentence_idx: 955061 | align_1: 9-8 | align_2: 10-17 | entity: Refuge - none |    We have also opened up the Arctic National Wildlife Refuge for energy exploration — something leaders have tried to do for decades — creating even more jobs and more energy savings . ||| 我们 还 设立 了 北极 国家 野生 动物 保护区 ， 在 此 基础 上 美国 就 能 进行 能源 勘探 ， 这是 美国 领导人 几十 年 来 一直 试图 做 的 事情 ， 此举 可以 创造 更 多 的 就业 机会 和 节约 更 多 的 能源 。 

Scripture 书作 | w_freq: 233 - 3 | wiki_freq: 5477 - 68 | sentence_idx: 955719 | align_1: 3-1 | align_2: 4-5 | entity: Scripture - none |    Indeed , both Scripture and the universal witness of the Fathers illustrate this fact most clearly . ||| 帛 书作 “ 众父 ” ， 众名物 之 父 ， 其 义 明晰 ， 从 之 。 

Scripture 帛 | w_freq: 233 - 1 | wiki_freq: 5477 - 218 | sentence_idx: 955719 | align_1: 3-0 | align_2: 4-5 | entity: Scripture - none |    Indeed , both Scripture and the universal witness of the Fathers illustrate this fact most clearly . ||| 帛 书作 “ 众父 ” ， 众名物 之 父 ， 其 义 明晰 ， 从 之 。 

Majed 士诚 | w_freq: 2 - 1 | wiki_freq: 443 - 17 | sentence_idx: 956100 | align_1: 0-0 | align_2: 1-5 | entity: Majed - none |    Majed says , “ He ’s my Lord and my Savior , my best friend . ||| 士诚 嘉纳 ， 尝语 人 曰 ： “ 明卿 高 世士 ， 吾益友 也 。 

Skates Skates | w_freq: 2 - 1 | wiki_freq: 475 - 4 | sentence_idx: 958811 | align_1: 6-7 | align_2: 7-11 | entity: John Ray Skates - John Ray Skates |    According to U.S. historian John Ray Skates : ||| 根据 美国 历史学家 约翰·雷伊·斯盖特斯 （ John Ray Skates ） 的 说法 ： 

Andersen Andersen | w_freq: 49 - 36 | wiki_freq: 12446 - 85 | sentence_idx: 960189 | align_1: 3-3 | align_2: 4-14 | entity: Riley Andersen - none |    Just like Riley Andersen , most people hardly know themselves , and when they try to “ listen to themselves ” they easily become prey to external manipulations . ||| 就 像 Riley Andersen （ 编者注 ： 《 头脑 特工队 》 人物 ） 一样 ， 大多数 人 几乎 都 不 了解 自己 ， 当 他们 试图 “ 倾听 自己 ” 很 容易 就 会 变成 外部 操纵 的 猎物 。 

Gis 尚书 | w_freq: 2 - 17 | wiki_freq: 78 - 14597 | sentence_idx: 963986 | align_1: 1-1 | align_2: 2-11 | entity: Gis - none |    By Gis and by Saint Charity , alack , and fie for shame ! ||| 《 尚书 ・ 甘誓 》 ： “ 《 甘誓 》 启 与 有 扈战 于 甘之野 ， 作 《 甘誓 》 。 

Thinking Thinking | w_freq: 132 - 21 | wiki_freq: 7277 - 76 | sentence_idx: 964610 | align_1: 4-10 | align_2: 5-20 | entity: Thinking - none |    The Year of Magical Thinking ( 2007 ) ( based on her book ) ||| 《 奇想 之 年 》 （ The Year of Magical Thinking （ 英语 ： The Year of Magical Thinking ） ， 2007年 ） ( 根据 她 的 小说 ) 

Smoke Smoke | w_freq: 24 - 7 | wiki_freq: 8573 - 61 | sentence_idx: 965886 | align_1: 5-5 | align_2: 6-13 | entity: Fire and Smoke - none |    1981 : " Fire and Smoke " – Earl Thomas Conley ||| 1981 : " Fire and Smoke （ 英语 ： Fire and Smoke ） " – Earl Thomas Conley （ 英语 ： Earl Thomas Conley ） 

Levine Levine | w_freq: 24 - 12 | wiki_freq: 11313 - 90 | sentence_idx: 969506 | align_1: 1-1 | align_2: 2-8 | entity: Jerry Levine - none |    Jerry Levine as Rupert " Stiles " Stilinski ||| Jerry Levine （ 英语 ： Jerry Levine ） 饰 Rupert " Stiles " Stilinski 

YORK YORK | w_freq: 64 - 8 | wiki_freq: 199 - 16 | sentence_idx: 969878 | align_1: 1-2 | align_2: 2-6 | entity: NEW YORK - none |    NEW YORK – The price of a gallon of gasoline may soon start with a " 2 " across much the country . ||| N EW YORK （ 美联社 ） - 一加仑 汽油 的 价格 可能 很快 就 会 以 全国 各地 的 “ 2 ” 开始 。 

Kristina 克里斯蒂娜 | w_freq: 18 - 23 | wiki_freq: 4784 - 479 | sentence_idx: 971062 | align_1: 8-9 | align_2: 9-15 | entity: Kristina - 克里斯蒂娜 |    " Our thoughts must now turn to supporting Kristina at this difficult time . " ||| “ 咱们 的 思法 现 正在 务必 转向 扶帮 克里斯蒂娜 [ 他 的 妻子 ] 正在 这个 困难 的 时候 。 

Reddy 兰迪 | w_freq: 19 - 32 | wiki_freq: 13068 - 207 | sentence_idx: 974079 | align_1: 10-10 | align_2: 11-15 | entity: Reddy - 兰迪 |    The student said in February 2017 he received messages from Reddy saying , “ I want your hands on me . ” ||| 那个 学生 说 他 在 2017年 2月 收到 了 来自 兰迪 的 信息 ， 她 说 : “ 我 想 要 你 的 手 放 在 我 身上 ” 。 

Stubby Stubby | w_freq: 1 - 1 | wiki_freq: 292 - 3 | sentence_idx: 977935 | align_1: 30-36 | align_2: 31-41 | entity: Stubby - none |    Fact : In 1921 at a ceremony to commemorate the United States ’ 102nd Infantry , the US Army awarded a gold medal to an honourable war dog : Sergeant Stubby . ||| 于 1921年 ， 在 一 次 纪念 美国 第102 步兵团 （ 旅 ？ 师 ？ ） 的 仪式 上 ， 美国 陆军 将 一 枚 金质 奖章 颁给 了 一 只 光荣 的 战争 犬 ： Stubby 中士 [ 30 ] 。 

HRI HRI | w_freq: 11 - 4 | wiki_freq: 235 - 5 | sentence_idx: 978790 | align_1: 3-6 | align_2: 4-11 | entity: HRI - HRI 国际 减害 组织 |    Damon Barrett ( HRI ): " big problem " between drug enforcement and the death penalty ||| 达蒙•巴雷特 （ Damon Barrett ） （ HRI 国际 减害 组织 ） ： 毒品 走私 和 死刑 之间 存在 “ 严重 问题 ” 

Kristen 克里斯汀 | w_freq: 23 - 36 | wiki_freq: 5917 - 159 | sentence_idx: 986154 | align_1: 0-0 | align_2: 1-4 | entity: Kristen - 克里斯汀 - 何 |    Kristen explains , " it looks more like the chemistry of the origin of life , because there may be a lot of sticky pools on the earth before the origin of life . ||| 克里斯汀 - 何 解释 说 ， “ 这样 看 起来 更 像 是 生命 起源 的 化学 成份 ， 因为 在 生命 起源 之前 ， 地球 上 可能 有 许多 粘稠 的 水塘 。 

Hardball Hardball | w_freq: 1 - 1 | wiki_freq: 553 - 2 | sentence_idx: 990803 | align_1: 9-6 | align_2: 10-11 | entity: Hardball - “ Hardball ” |    During the July 24 , 2007 edition of “ Hardball , ” Matthews referred to three women who had starred in political parody song videos as “ these gorgeous creatures of god . ” ||| 2007年 7月 24日 版 在 “ Hardball ” 一 书 中 ， Matthews 提到 了 三 位 曾 出演 过 政治 模仿 歌曲 视频 的 女性 作为 “ 这些 神奇 的 上帝 生物 ” 。 

Occupy 华尔街 | w_freq: 31 - 370 | wiki_freq: 4294 - 2144 | sentence_idx: 993359 | align_1: 16-14 | align_2: 17-22 | entity: Occupy - 华尔街 |    No wonder that banks and governments react with horror to even a tiny movement such as Occupy . ||| 难怪 银行 和 政府 甚至 对付 一个 极其 微小 的 运动 ， 例如 占领 华尔街 运动 ， 都 被 吓 得 发抖 。 

Pritzker Pritzker | w_freq: 6 - 5 | wiki_freq: 2529 - 12 | sentence_idx: 995895 | align_1: 20-20 | align_2: 21-24 | entity: Pritzker Prize - none |    The studio is led by 10 partners , including its founder , the architect Renzo Piano , who won the Pritzker Prize in 1998 . ||| 工作室 由 10 位 合作 伙伴 领导 ， 包括 其 创始人 ， 建筑师 Renzo Piano ， 他 于 1998年 获得 Pritzker （ 普利兹克 建筑 奖 ） 。 

Babushki Babushki | w_freq: 1 - 2 | wiki_freq: 34 - 1 | sentence_idx: 999261 | align_1: 5-5 | align_2: 6-12 | entity: Buranovskiye Babushki - none |    Russia Udmurt , English Buranovskiye Babushki " Party For Everybody " — 1 152 ||| 俄罗斯 乌德穆尔特语 、 英语 Buranovskiye Babushki （ 英语 ： Buranovskiye Babushki ） " Party for Everybody （ 英语 ： Party for Everybody ） " — 1 152 

