vigilant vigilant | w_freq: 119 - 66 | wiki_freq: 1325 - 526 | sentence_idx: 1173 | align_1: 8-10 | align_2: 9-15 |    NS : Firstly , we need to be vigilant in all spaces . ||| NS : En premier lieu , nous devons rester très vigilant - e - s dans tous les espaces . 
governs régit | w_freq: 65 - 45 | wiki_freq: 4684 - 1523 | sentence_idx: 264970 | align_1: 4-4 | align_2: 5-10 |    Article 24 TFEU directly governs the way in which the European institutions work regarding the use of the twenty-four languages . ||| L' article 24 TFUE régit , de façon directe , le mode de travail des institutions européennes quant à l' utilisation des vingt-quatre langues . 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 266552 | align_1: 0-0 | align_2: 1-5 |    Anyway , I consider the future consolidation of the cultural conservative forces on all seven fronts as the most important in Norway and in all Western European countries . ||| Quoi qu’ il en soit , je considère que la consolidation future des forces culturelles conservatrices sur l’ ensemble des sept fronts comme la plus importante en Norvège et dans tous les pays d’ Europe occidentale . 

UI UI | w_freq: 15 - 20 | wiki_freq: 3315 - 251 | sentence_idx: 266876 | align_1: 12-11 | align_2: 13-15 |    Why not put in an additional 20 % and create our own UI which we are pretty adept at anyway . ||| Pourquoi ne pas y ajouter 20 % et créer notre propre UI , ce à quoi nous sommes plutôt habitués de toute façon . 

sins péchés | w_freq: 397 - 399 | wiki_freq: 8639 - 2678 | sentence_idx: 266934 | align_1: 3-2 | align_2: 4-7 |    ' Her many sins have been forgiven ; hence , she has shown great love . ' ||| " Ses péchés , ses nombreux péchés sont pardonnés , puisqu' elle a montré beaucoup d' amour . " 

fascinating fascinant | w_freq: 277 - 146 | wiki_freq: 7623 - 463 | sentence_idx: 267294 | align_1: 2-3 | align_2: 3-7 |    What is fascinating is especially the recurrence of this cyclical increase over three years compared to other products . ||| Ce qui est fascinant de constater c’ est surtout la récurrence de cette augmentation cyclique sur trois ans par rapport aux autres produits . 

urgently urgente | w_freq: 169 - 186 | wiki_freq: 3137 - 1434 | sentence_idx: 267428 | align_1: 4-6 | align_2: 5-10 |    Instead of giving the urgently needed help , , many products that are exported to Africa damage both the health of the people and their economies . ||| Au lieu de donner l’ aide urgente qu’ on a besoin , de nombreux produits qui sont exportés vers l' Afrique endommagent à la fois la santé des personnes et leurs économies . 

hatred enfer | w_freq: 313 - 503 | wiki_freq: 13652 - 5884 | sentence_idx: 268062 | align_1: 1-1 | align_2: 2-5 |    No hatred is so deep as against God 's light and love . ||| l’ enfer , ce n’ est pas tant les flammes , que de vivre loin de la lumière et de l’ amour divins . 

hopefully espérons | w_freq: 189 - 1025 | wiki_freq: 3850 - 195 | sentence_idx: 268322 | align_1: 2-2 | align_2: 3-6 |    These instructions hopefully are so simple ( and I hope , elegant ) that even a Gungan can build one . ||| Ces instructions espérons - le , seront tellement simple ( et je l' espère , élégant ) que même un Gungan pouvez en construire un . 

Trilemma trilemme | w_freq: 2 - 5 | wiki_freq: 33 - 44 | sentence_idx: 268853 | align_1: 16-18 | align_2: 17-23 |    The triple challenge of providing secure , affordable and sustainable energy systems — the so-called Energy Trilemma — has never been more complex . ||| Le triple défi consistant à offrir des systèmes énergétiques sûrs , abordables et durables – appelé le « trilemme de l’ énergie » n’ a jamais été plus complexe . 

Consensus consensus | w_freq: 32 - 531 | wiki_freq: 3080 - 7685 | sentence_idx: 269223 | align_1: 1-1 | align_2: 2-5 |    " Consensus is not the lowest common denominator , but often a third solution that appears . " ||| Le consensus , ce n’ est pas le plus petit dénominateur commun , mais souvent une troisième solution qui apparaît . » 

worrying inquiétant | w_freq: 257 - 130 | wiki_freq: 2700 - 1439 | sentence_idx: 269694 | align_1: 2-3 | align_2: 3-7 |    It is worrying that some of these problems can be easily ruled out using preparations such as Climax Control , while the only limit is the shame of my patients . ||| Ce qui est inquiétant , c’ est que certains de ces problèmes peuvent être facilement résolus avec des préparations comme Climax Control , et la seule limite est la honte de mes patients . 

Dignity dignité | w_freq: 31 - 393 | wiki_freq: 2915 - 8145 | sentence_idx: 269788 | align_1: 16-20 | align_2: 17-25 |    Yet as The Economist magazine noted recently , ‘ the energy of the 2014 Revolution of Dignity has not dissipated . ||| Cependant , tel que le magazine The Economist a récemment souligné , « l’ énergie de la Révolution de la dignité de 2014 ne s’ est pas dissipée . 

McKinley McKinley | w_freq: 6 - 6 | wiki_freq: 10439 - 1227 | sentence_idx: 269914 | align_1: 8-10 | align_2: 9-14 |    So , he activated the trap … and McKinley fired … ? ||| Alors , a -t -il activé le piège ... et McKinley a -t -il tiré ... ? 

dismantle démanteler | w_freq: 63 - 57 | wiki_freq: 2906 - 1146 | sentence_idx: 271015 | align_1: 2-2 | align_2: 3-7 |    We should dismantle supply management — not because Trump says so , but because it ’s in Canada ’s best interests . ||| Nous devrions démanteler la gestion de l’ offre – non pas parce que Trump le dit , mais parce que c’ est dans l’ intérêt supérieur du Canada de le faire . 

hunted chassaient | w_freq: 30 - 4 | wiki_freq: 10462 - 378 | sentence_idx: 272554 | align_1: 8-16 | align_2: 9-21 |    Perhaps other princes had built better houses or hunted insects themselves . ||| Peut - être que d’ autres princes avaient construit de plus belles maisons ou qu’ ils chassaient eux - mêmes les insectes . 

famine famine | w_freq: 141 - 208 | wiki_freq: 14193 - 6923 | sentence_idx: 273720 | align_1: 13-16 | align_2: 14-22 |    So in 1965 , I went to what was called the worst Bihar famine in India , and I saw starvation , death , people dying of hunger , for the first time . ||| Alors en 1965 , je me suis rendu à ce qui était décrit comme la pire famine de l’ état du Bihar en Inde , et j’ ai vu la famine , la mort , des gens qui mourraient de faim , pour la première fois . 

WMO WMO | w_freq: 5 - 1 | wiki_freq: 816 - 17 | sentence_idx: 276689 | align_1: 3-4 | align_2: 4-14 |    ‘ Even if WMO agrees , I will still not pass on the data . ||| « Même si la WMO [ Organisation mondiale de la météorologie ] est d’ accord , je ne vais toujours pas transmettre les données . 

goodness patience | w_freq: 133 - 489 | wiki_freq: 3718 - 1896 | sentence_idx: 276822 | align_1: 3-3 | align_2: 4-8 |    Then in long-suffering goodness He adds , " Yet his days shall be an hundred and twenty years . " ||| Mais dans sa patience , par grâce , Il ajoute : « mais ses jours seront cent vingt ans » . 

11.13 11.13 | w_freq: 2 - 2 | wiki_freq: 121 - 4 | sentence_idx: 277971 | align_1: 0-0 | align_2: 1-5 |    11.13 Are there new passport requirements for travel to the United States under the VWP ? ||| 11.13 Y - a -t -il de nouvelles exigences concernant les passeports pour voyager aux USA via le VWP ? 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 278007 | align_1: 0-0 | align_2: 1-5 |    Anyway , consult a few opinions and refer to a comparative guide such as this one will never be too much . ||| Quoi qu’ il en soit , consulter quelques avis et faire référence à un guide comparatif tel que celui-ci ne sera jamais de trop . 

supposes présume | w_freq: 20 - 49 | wiki_freq: 810 - 457 | sentence_idx: 279735 | align_1: 3-3 | align_2: 4-9 |    Comrade Luxemburg thus supposes that I defend one system of organisation against another . ||| La camarade Luxemburg présume , de cette façon , que je défends un certain système d’ organisation contre un certain autre . 

supposes présume | w_freq: 20 - 49 | wiki_freq: 810 - 457 | sentence_idx: 279736 | align_1: 3-3 | align_2: 4-9 |    Comrade Luxemburg thus supposes that I defend one system of organisation against another . ||| La camarade Luxemburg présume , de cette façon , que je défends un certain système d' organisation contre un certain autre . 

milestone jalon | w_freq: 42 - 14 | wiki_freq: 11484 - 583 | sentence_idx: 279755 | align_1: 6-8 | align_2: 7-14 |    Last year we celebrated the major milestone of having over a million ideas shared by the community . ||| L’ année dernière , nous avons célébré le jalon majeur qu’ est le fait d’ avoir plus d’ un million d’ idées partagées par la communauté . 

taxpayers contribuables | w_freq: 137 - 177 | wiki_freq: 5991 - 1452 | sentence_idx: 280055 | align_1: 1-1 | align_2: 2-6 |    EU taxpayers should not pay at 27 for the obligations undertaken at 28 . ||| Les contribuables de l’ UE ne devraient pas payer à 27 les obligations entreprises à 28 . 

Mohamud Mohamud | w_freq: 1 - 1 | wiki_freq: 680 - 18 | sentence_idx: 280811 | align_1: 2-1 | align_2: 3-11 |    Somalia President Mohamud also acknowledged that this is a major difficulty . ||| M. Mohamud , le président de la Somalie , a lui aussi reconnu qu’ il s’ agissait d’ une difficulté majeure . 

Emir Emir | w_freq: 10 - 7 | wiki_freq: 7300 - 785 | sentence_idx: 280839 | align_1: 6-7 | align_2: 7-12 |    " If you met the same Emir two years ago , he was praising Assad , and considered him a dear friend . ||| « Si vous aviez rencontré ce même Emir , il y a deux ans , il faisait l' éloge d' Assad et le considérait comme un ami très cher . 

Maybe Peut | w_freq: 1086 - 2306 | wiki_freq: 6736 - 3705 | sentence_idx: 281178 | align_1: 3-7 | align_2: 4-12 |    ( Laughter ) Maybe I should ask by what standards you declare yourself to be good ? ||| Oh , oh ! ( rire ) Peut - être , devrais -je demander sur quelles normes vous vous déclarez être bons ? 

Delivering Livrer | w_freq: 8 - 1 | wiki_freq: 544 - 9 | sentence_idx: 281668 | align_1: 5-5 | align_2: 6-10 |    Belief # 3 : “ Delivering business value is more important than individual employee utilization . ” ||| Croyance # 3 : «   Livrer de la valeur d’ affaires est plus important que l’ utilisation individuelle des employés .   » 

bureaucrats bureaucrates | w_freq: 88 - 91 | wiki_freq: 2966 - 376 | sentence_idx: 281852 | align_1: 2-3 | align_2: 3-8 |    And when bureaucrats continually thwarted his orders , he used glasnost , or open discussion and democratisation . ||| Et quand les bureaucrates n’ ont eu de cesse de contrarier ses ordres , il a utilisé la glasnost , ou discussion ouverte et la démocratisation . 

Abed Abed | w_freq: 6 - 6 | wiki_freq: 1724 - 309 | sentence_idx: 282928 | align_1: 3-4 | align_2: 4-9 |    And I took Abed and we went to see this awful building . ||| Et j’ ai pris Abed [ son chauffeur ] et nous sommes allés voir ce terrible bâtiment . 

morale moral | w_freq: 56 - 380 | wiki_freq: 11098 - 10725 | sentence_idx: 282947 | align_1: 7-8 | align_2: 8-13 |    If you replace that robot , will morale suffer ? ||| Et si vous remplacez ce robot , le moral va -t -il en pâtir ? 

Gong Gong | w_freq: 60 - 61 | wiki_freq: 9404 - 2790 | sentence_idx: 283154 | align_1: 4-4 | align_2: 5-8 |    In addition to Falun Gong were other groups protesting in Palm Beach . ||| En plus du Falun Gong , il y avait d’ autres groupes qui protestaient à Palm Beach . 

Help aidera | w_freq: 369 - 783 | wiki_freq: 11034 - 1565 | sentence_idx: 283166 | align_1: 5-4 | align_2: 6-8 |    Will the First Medication Prescribed Help Control my Friend or Family Member ’s Depressive Symptoms ? ||| Le premier médicament prescrit aidera -t -il à maîtriser les symptômes dépressifs de mon ami ou du membre de ma famille ? 

co-operate coopérer | w_freq: 22 - 276 | wiki_freq: 2605 - 1987 | sentence_idx: 283262 | align_1: 7-7 | align_2: 8-13 |    We have the freedom to peacefully not co-operate with the old system . ||| Nous avons la liberté de ne pas coopérer , de manière pacifique , avec l' ancien système . 

deceive tromper | w_freq: 84 - 226 | wiki_freq: 2591 - 2801 | sentence_idx: 284186 | align_1: 9-9 | align_2: 10-14 |    The ancient human society explained why they had to deceive surface humanity in order to counter the agendas of extraterrestrials : ||| L’ ancienne société humaine a expliqué pourquoi elle devait tromper l’ humanité de la surface pour contrer les agendas des extraterrestres : 

Alsatian alsacien | w_freq: 11 - 4 | wiki_freq: 1540 - 3805 | sentence_idx: 285306 | align_1: 6-8 | align_2: 7-13 |    Was the teaching of German and Alsatian replaced by Arabic and Turkish in a primary school in Alsace ? ||| L’ enseignement de l’ allemand et de l' alsacien a -t -il été remplacé par l’ arabe et le turc dans une école primaire d’ Alsace ? 

11:20:“But 11:20 | w_freq: 4 - 2 | wiki_freq: 0 - 9 | sentence_idx: 285598 | align_1: 1-1 | align_2: 2-6 |    Luke 11:20:“But if I drive out demons by the finger of God , then the kingdom of God has come to you . ” ||| Luc 11:20 - 22 Mais , si c’ est par le doigt de Dieu que je chasse les démons , le royaume de Dieu est donc venu vers vous . 

reacts réagit | w_freq: 66 - 137 | wiki_freq: 6749 - 6192 | sentence_idx: 287510 | align_1: 9-11 | align_2: 10-15 |    Everyone who enters a casino for the first time reacts differently . ||| Chaque personne qui rentre pour la première fois dans un casino réagit d’ une façon différente . 

nowhere nulle | w_freq: 264 - 471 | wiki_freq: 10006 - 9654 | sentence_idx: 288511 | align_1: 3-5 | align_2: 4-9 |    Such terms were nowhere common at that time , except among fascist tendencies and among the Nazis in Germany . ||| De tels termes n' étaient nulle part d’ usage courant en ce temps -là , sauf parmi les tendances fascistes et parmi les nazis en Allemagne . 

sculptors sculpteurs | w_freq: 17 - 21 | wiki_freq: 6613 - 5056 | sentence_idx: 289087 | align_1: 7-7 | align_2: 8-12 |    No one has yet established how Indus sculptors managed to anticipate forms associated with Greek sculpture of classical antiquity . ||| Personne n’ a encore établi comment les sculpteurs de l’ Indus ont réussi à anticiper les formes associées à Sculpture grecque de l’ antiquité classique . 

disclaimers exclusions | w_freq: 3 - 21 | wiki_freq: 354 - 416 | sentence_idx: 289355 | align_1: 4-8 | align_2: 5-13 |    Many other limitations and disclaimers relate to your use of the Service . ( Section 13 and Section 14 ) ||| Il y a beaucoup d’ autres limitations et exclusions de responsabilité qui s’ appliquent à votre utilisation du service . ( section 13 et section 14 ) 

Fernanda Fernanda | w_freq: 5 - 5 | wiki_freq: 2248 - 598 | sentence_idx: 289560 | align_1: 2-2 | align_2: 3-7 |    My beloved Fernanda is making this same transition in her own way in Mexico , in her own context . ||| Ma bien-aimée Fernanda , elle aussi , opère cette même transition , à sa manière au Mexique , dans son contexte . 
